# time luminosity u_luminosity radius u_radius
-2.022228305506723700e+01 3.688830851302001879e+35 2.790755164121016439e+34 1.008372478792746668e+06 1.221195078452779903e+01
-1.887769098920398392e+01 3.716795533078974950e+35 2.911490055255942771e+34 1.008374798898387817e+06 1.231512350036929959e+01
-1.620195277813763823e+01 3.834796747372977201e+35 3.029269290786984171e+34 1.008381186109661940e+06 1.324926616957162473e+01
-1.580137999226280954e+01 3.854333950529185784e+35 3.049936307256837795e+34 1.008382276039378368e+06 1.342740660499818084e+01
-1.500424014837335562e+01 3.895471687061848852e+35 3.091367933019413063e+34 1.008384613458084408e+06 1.379234281025050812e+01
-1.341793185902497498e+01 3.986716450260342299e+35 3.198253526686573297e+34 1.008390546396702062e+06 1.324564241522433683e+01
-1.321828230297251139e+01 3.999123696802386145e+35 3.217541834833756607e+34 1.008391349006577628e+06 1.331782341775183376e+01
-1.282097968642483465e+01 4.024368254485187444e+35 3.254356160865324898e+34 1.008393020442391629e+06 1.346316457689438195e+01
-1.203034747949277516e+01 4.077134498551225115e+35 3.320691985344317607e+34 1.008396745679919608e+06 1.382997535377072751e+01
-1.192094218708371045e+01 4.084537578390131186e+35 3.329812729193543947e+34 1.008397293293101946e+06 1.388339947332195656e+01
-1.170322565518290503e+01 4.099732280180584807e+35 3.348032546792214740e+34 1.008398450796393096e+06 1.398327463585704500e+01
-1.126996975670772372e+01 4.132952488809791133e+35 3.412193040405082908e+34 1.008401043843999156e+06 1.428066484831987459e+01
-1.119686394313612254e+01 4.138481826642822039e+35 3.421098729642881953e+34 1.008401500864826259e+06 1.434512525812015049e+01
-1.105138337412790861e+01 4.149615776785281649e+35 3.439117387736318572e+34 1.008402434735749848e+06 1.448263217163739114e+01
-1.076187704179756111e+01 4.172230578822410581e+35 3.475824291785411489e+34 1.008404595594856772e+06 1.453360903292363915e+01
-1.018575944046460791e+01 4.220563296318640658e+35 3.553310255982857979e+34 1.008409398099216865e+06 1.519304116353877809e+01
-9.779559080605395138e+00 4.256489979065753838e+35 3.612168763460126188e+34 1.008413478799063014e+06 1.591395506884618349e+01
-9.445294030767399818e+00 4.287823210861157746e+35 3.669858813937875300e+34 1.008417582617354929e+06 1.678844899800883894e+01
-9.216714725931524299e+00 4.310069052659538081e+35 3.714827584266537732e+34 1.008420978231298155e+06 1.766508098646427527e+01
-8.972451524932694156e+00 4.335899696334579813e+35 3.750302079808496004e+34 1.008425353996420396e+06 1.907330054135934105e+01
-8.818034527997951955e+00 4.352803332424939176e+35 3.786800742878445782e+34 1.008428772316783085e+06 2.031490072355409637e+01
-8.713489821835537441e+00 4.363881420133781674e+35 3.806615848233395835e+34 1.008431626229359303e+06 2.157770761113913593e+01
-8.661701002994959708e+00 4.370070074052146431e+35 3.822666273617742830e+34 1.008433328863472911e+06 2.251038180953492684e+01
-8.654780104006931651e+00 4.371078952957241066e+35 3.825713024690970978e+34 1.008433580420965329e+06 2.265965022453031708e+01
-8.641007515012461226e+00 4.372485578616702185e+35 3.826378674011442755e+34 1.008434099345234223e+06 2.298163281428850624e+01
-8.613600062919431366e+00 4.375323855997573917e+35 3.830395212373687848e+34 1.008435234490413219e+06 2.375925352570684623e+01
-8.562320994722540490e+00 4.381993757932758136e+35 3.841464752869629309e+34 1.008437883832338150e+06 2.601060503521999578e+01
-8.531891658181848470e+00 4.391233995212302918e+35 3.855403791561571290e+34 1.008440014163635904e+06 2.830542128445172878e+01
-8.509027339532622136e+00 4.387755210100496082e+35 3.850712349993258988e+34 1.008441864145169966e+06 3.052045210303161227e+01
-8.488695635307522025e+00 4.392316011374174503e+35 3.884098638456503562e+34 1.008443784263779875e+06 3.298013441533736056e+01
-8.470258713809016626e+00 4.393240226296468986e+35 3.877279888095747075e+34 1.008445679655918502e+06 3.551616634475719536e+01
-8.443335753916471731e+00 4.396093519113594530e+35 3.874910359943967018e+34 1.008448463556494680e+06 3.920817351497034764e+01
-8.416439695334702265e+00 4.400084168799368561e+35 3.881551389747364009e+34 1.008451323791116476e+06 4.290949025618570545e+01
-8.392791889236832503e+00 4.401783832855566749e+35 3.880567673949996650e+34 1.008453917555642547e+06 4.611354326636104872e+01
-8.369859017489943653e+00 4.378599534534302806e+35 4.095971993274587754e+34 1.008456574792942381e+06 4.921530871600986501e+01
-8.351182385922584217e+00 4.412585345121000412e+35 3.952380683444650167e+34 1.008458940900497371e+06 5.172977684389471875e+01
-8.334404367946262937e+00 4.412828569995812333e+35 3.933495414485264502e+34 1.008461440376246697e+06 5.411509692005823524e+01
-8.318953518384660129e+00 4.375481871276697784e+35 3.808436367330148419e+34 1.008464139937302796e+06 5.659983392790888956e+01
