# time luminosity u_luminosity radius u_radius
-2.029156824863457587e+01 3.215435938045563697e+35 3.618675187787657052e+34 1.008352603346388671e+06 1.391479480404993119e+01
-1.794277818709088024e+01 3.403605217640503468e+35 3.347307064401497139e+34 1.008361867764662951e+06 1.313149670387558388e+01
-1.548177183518419042e+01 3.527550838042904813e+35 3.429752816889880110e+34 1.008369235330227413e+06 1.338435722739456857e+01
-1.303394102364836726e+01 3.672966714857111330e+35 3.527125983174010553e+34 1.008378774335581111e+06 1.345672390216234504e+01
-1.123077177177765407e+01 3.805058339800444621e+35 3.643137956479458951e+34 1.008389225255637313e+06 1.360789253385699915e+01
-1.017629460453463253e+01 3.894905411422687090e+35 3.733587104734146304e+34 1.008397984172992059e+06 1.390942965078971660e+01
-9.510661532491212711e+00 3.957336222460508147e+35 3.790533240377721550e+34 1.008405806338767288e+06 1.428400094847502722e+01
-8.952802675165003166e+00 4.015838871294693940e+35 3.899053813358725761e+34 1.008415085349108209e+06 1.460336434138644179e+01
-8.916387320670764893e+00 4.020208854759299611e+35 3.896275720037166520e+34 1.008415817921404494e+06 1.460650587692778579e+01
-8.843920765226357616e+00 4.029062437653261150e+35 3.890127600033176102e+34 1.008417339856238570e+06 1.463995953855659771e+01
-8.699712319910759106e+00 4.045608600197653069e+35 3.913348465323154664e+34 1.008420787371540559e+06 1.481301271092245031e+01
-8.485885726637206972e+00 4.069874375590667185e+35 3.928233074172009152e+34 1.008427522534241900e+06 1.541683214169094107e+01
-8.397440306391217746e+00 4.085110252050639924e+35 3.947744197187634105e+34 1.008433417477619601e+06 1.788329865278072006e+01
-8.322010140356724150e+00 4.096027170280715364e+35 3.934373659076287705e+34 1.008445410383893526e+06 2.650768370906705584e+01
-8.224067531918990426e+00 4.102846368915782153e+35 3.967010724180329998e+34 1.008464190807946143e+06 3.938696240519060865e+01
-8.081583314953604713e+00 4.118785324465070212e+35 4.003186757118735581e+34 1.008487929648570716e+06 5.936422742196570823e+01
-7.998616898752516136e+00 4.130524471342568805e+35 4.027486791532842737e+34 1.008503117800959619e+06 7.225787214291926830e+01
-7.931563706617453136e+00 4.142767855111274798e+35 4.030849825285873470e+34 1.008516650276268716e+06 8.366984087317501917e+01
-7.874707193332142197e+00 4.164220781984576532e+35 4.100556930155703865e+34 1.008529417228493490e+06 9.420321605386868669e+01
-7.827125592506490648e+00 4.186781558785956563e+35 4.078745015498656656e+34 1.008541440174524439e+06 1.036334935482841928e+02
-7.821230672998353839e+00 4.188813938872408254e+35 4.057460404921702631e+34 1.008543076766310260e+06 1.048345096412480473e+02
-7.809499783179489896e+00 4.159557800954285714e+35 4.062180224639455425e+34 1.008546295555840712e+06 1.072959057626762842e+02
-7.786155312438495457e+00 4.211518881357645638e+35 3.972285086880579941e+34 1.008552843939585146e+06 1.123994015607577808e+02
-7.782226819879724644e+00 4.214706051205437286e+35 3.956992794817844594e+34 1.008553969496894977e+06 1.132940322677896603e+02
-7.774409119680058211e+00 4.222069165590104259e+35 3.929912190908028550e+34 1.008556220442586811e+06 1.150793061455622137e+02
-7.772853397342259996e+00 4.223670065921190070e+35 3.923312973307727016e+34 1.008556671544616343e+06 1.154372184331535038e+02
-7.769757509886403568e+00 4.227149883074686174e+35 3.912085003341122143e+34 1.008557570868322277e+06 1.161474348141591832e+02
-7.763596693854196928e+00 4.234103517191216961e+35 3.886519961689776827e+34 1.008559391079840483e+06 1.175801835448790342e+02
-7.762370691460091621e+00 4.235681407895731365e+35 3.884864898212903014e+34 1.008559758578983950e+06 1.178678143546965345e+02
-7.759930946704116650e+00 4.240066313522482230e+35 3.891404766480350430e+34 1.008560496691678418e+06 1.184409424628406668e+02
-7.759882395781460218e+00 4.238452444732296796e+35 3.878838860856738843e+34 1.008560514474717551e+06 1.184501327779334900e+02
-7.759857769764494151e+00 4.238016169765028250e+35 3.875438097041404119e+34 1.008560525465257466e+06 1.184532255189993180e+02
-7.759843462918070145e+00 4.237428121679569056e+35 3.871144224293667818e+34 1.008560531781469006e+06 1.184550775782631291e+02
-7.759824707754887640e+00 4.237459231026751673e+35 3.871162062057471283e+34 1.008560539212784613e+06 1.184581813964372117e+02
-7.759787384973606095e+00 4.238610123348406639e+35 3.878925592538385844e+34 1.008560553774971515e+06 1.184645386080151610e+02
-7.759713112638564780e+00 4.239171415530433637e+35 3.882182921739247796e+34 1.008560585009457194e+06 1.184753984921323990e+02
-7.759621995690395124e+00 4.239751144325830423e+35 3.885429190636695570e+34 1.008560635353075224e+06 1.184791854213940212e+02
