# File gs1826-24_5.14h.dat
# Created Sat Oct 31 10:23:47 2015
#
# This profile forms part of the sample assembled for the paper
#   "Thermonuclear burst observations for model comparisons: a reference
#   catalogue" by Galloway, Goodwin & Keek (2017), PASA 34, e019
#   DOI: https://doi.org/10.1017/pasa.2017.12; published online: 19/4/2017
#
# The dataset can be cited as
#   Duncan K. Galloway (2017). Dataset: Thermonuclear Burst Observations for
#   Model Comparisons: A Reference Sample.
#   DOI: http://dx.doi.org/10.4225/50/58e720d5d95a7
#
# This profile is from MINBAR burst #2393
# (#7 in Galloway et al. 2008, ApJS 179, 360), of
# GS 1826-24, observed on MJD 50988.82504
# by the Rossi X-ray Timing Explorer (RXTE).
# 
# For full details of the source sample see
# http://burst.sci.monash.edu/minbar 
#
# The burst recurrence time is derived from a linear fit to the time of
# this burst and optical bursts observed at the same time; see Thompson et
# al. 2008, ApJ 681, 506 for details.
# The fit incorporates intrinsic variations in the recurrence time,
# arising (for example) from the variations in accretion rate over the
# bursting interval
#
# Assumed cycle count is 
# [0,1,5,6,10,11] 
# Average recurrence time is 5.14 +/- 0.07 hr
#
# This version of the data now includes deadtime correction (see 
# http://heasarc.gsfc.nasa.gov/docs/xte/recipes/pca_deadtime.html)
# and has the updated effective area of the v11.7 responses (see
# http://www.universe.nasa.gov/xrays/programs/rxte/pca/doc/rmf/pca-arf-2011
#
# All uncertainties below are at 1-sigma (68%) confidence. Note that the
# time value specifies the BEGINNING of the time bin
#
# Columns are:
# 'Time [s]' 'dt [s]' 'flux [10^-9 erg/cm^2/s]' 'flux error [10^-9 erg/cm^2/s]' 'blackbody temperature kT [keV]' 'kT error [keV]' 'blackbody normalisation K_bb [(km/d_10kpc)^2]' 'K_bb error [(km/d_10kpc)^2]' chi-sq
 10.750  0.250  30.30    1.026   2.276  0.042  104.925   7.001  0.793
 11.000  0.250  28.39    0.913   2.184  0.040  116.003   7.986  0.951
 11.250  0.250  25.40    0.848   2.138  0.042  113.044   8.243  0.840
 11.500  0.250  26.62    0.847   2.133  0.040  119.562   8.356  0.873
 11.750  0.250  26.36    0.827   2.090  0.039  128.423   9.013  1.428
 12.000  0.250  25.01    0.871   2.099  0.039  119.628   8.506  0.909
 12.250  0.250  25.01    0.862   2.070  0.038  126.548   8.824  0.650
 12.500  0.250  26.16    0.922   2.175  0.041  108.650   7.595  1.377
 12.750  0.250  24.94    0.854   2.057  0.038  129.519   9.093  0.786
 13.000  0.250  23.67    0.808   2.117  0.042  109.491   8.214  1.212
 13.250  0.250  22.88    0.793   2.045  0.042  121.449   9.606  0.879
 13.500  0.250  22.38    0.765   2.097  0.042  107.498   8.131  1.370
 13.750  0.500  21.53    0.684   1.989  0.038  127.818   9.382  1.707
 14.250  0.500  20.82    0.563   2.013  0.030  117.744   6.646  1.028
 14.750  0.500  20.07    0.548   2.012  0.030  113.850   6.486  1.283
 15.250  0.500  19.87    0.505   2.023  0.031  110.196   6.501  1.076
 15.750  0.500  19.44    0.531   1.963  0.029  121.660   7.049  1.715
 16.250  0.500  18.50    0.511   1.978  0.029  112.288   6.490  0.591
 16.750  0.500  17.54    0.493   1.934  0.029  116.376   6.943  0.950
 17.250  0.500  17.03    0.476   1.890  0.029  124.001   7.468  1.063
 17.750  0.500  17.14    0.488   1.890  0.029  124.828   7.664  1.508
 18.250  0.500  16.77    0.465   1.880  0.028  124.682   7.479  1.295
 18.750  0.500  16.64    0.480   1.867  0.029  127.335   7.973  0.746
 19.250  0.500  15.65    0.416   1.861  0.031  121.185   7.867  1.202
