# File gs1826-24_5.74.dat
# Copied from zamfir3.dat, 2015 Apr 27
# Created Mon Dec 12 13:22:45 2011 with burst_average.pro
#
# Average of bursts  1, 2, 3, 4, 5 of 1826-24
# observed by RXTE (Galloway et al. 2008, ApJS 179, 360)
# (burst IDs 157, 158, 159, 160, 161; 159 is the key)
#
# Assumed cycle count is 
# [0,1,x,x+2,x+4] where x is approximately 870
# Average recurrence time (determined from the mean & standard deviation
# of the separation of the first pair, and half the separation of the last
# two pairs) is 5.74+/-0.13 hr
#
# This version of the data now includes deadtime correction (see 
# http://heasarc.gsfc.nasa.gov/docs/xte/recipes/pca_deadtime.html)
# and has the updated effective area of the v11.7 responses (see
# http://www.universe.nasa.gov/xrays/programs/rxte/pca/doc/rmf/pca-arf-2011
#
# Average computed by first cross-correlating 8-s of the burst (beginning
# at t=-2s) and adding an offset to more precisely line them up.
#
# Columns are:
# Time [s], dt [s], average flux and error [10^-9 erg/cm^2/s], average
# blackbody temperature and error [keV], average blackbody normalisation
# and error [(km/d_10kpc)^2]
#
# Note that the time value specifies the BEGINNING of the time bin
 15.00  0.50     20.12    0.5709     1.967   0.02327     125.2     5.504
 15.50  0.50     18.95    0.6413     1.959   0.02609     119.8     7.071
 16.00  0.50     18.61    0.7348     1.929   0.01848     124.9     5.698
 16.50  0.50     17.75    0.5351     1.916   0.03804     122.8     7.593
 17.00  0.50     17.30    0.4584     1.896   0.05048     125.1     10.78
 17.50  0.50     16.90    0.5992     1.867   0.02833     129.5     5.404
 18.00  0.50     16.62    0.7331     1.871   0.02047     126.2     6.732
 18.50  0.50     16.26    0.5182     1.865   0.01868     124.9     4.408
 19.00  0.50     16.00    0.4956     1.855   0.02605     125.8     5.458
 19.50  0.50     15.49    0.4266     1.844   0.02925     125.0     7.453
 20.00  0.50     14.83    0.4102     1.813   0.03563     127.9     7.086
 20.50  0.50     14.62    0.3985     1.801   0.02650     129.3     4.861
 21.00  0.50     14.26    0.3961     1.781   0.03783     132.2     9.390
 21.50  0.50     14.24    0.4868     1.783   0.04911     131.6     11.47
 22.25  1.00     13.88    0.3823     1.792   0.01536     125.2     2.563
 23.25  1.00     13.24    0.5668     1.779   0.02242     123.0     8.047
 24.25  1.00     12.95    0.4952     1.752   0.01942     127.7     5.977
 25.25  1.00     12.94    0.4815     1.758   0.02234     125.8     2.498
 26.25  1.00     12.44    0.3933     1.733   0.01685     128.4     6.291
 27.25  1.00     12.21    0.5480     1.742   0.02162     123.3     4.317
 28.25  1.00     11.82    0.4543     1.739   0.02317     120.2     4.178
 29.25  1.00     11.47    0.4523     1.691   0.02747     130.8     9.006
 30.25  1.00     11.13    0.6279     1.696   0.02260     125.2     7.560
 31.25  1.00     10.87    0.4172     1.671   0.02805     129.6     5.504
 32.25  1.00     10.69    0.4006     1.669   0.03452     128.1     6.723
 33.25  1.00     10.64    0.4064     1.673   0.01725     126.5     7.436
 34.25  1.00     10.11    0.5357     1.655   0.02452     125.2     3.015
 35.25  1.00     10.07    0.4525     1.623   0.04206     135.4     11.30
 36.25  1.00     9.802    0.5003     1.623   0.04361     131.8     12.59
 37.25  1.00     9.561    0.4933     1.615   0.05005     131.4     12.77
 38.25  1.00     9.427    0.3678     1.622   0.03560     126.9     6.984
 39.75  2.00     9.073    0.3337     1.605   0.01952     127.2     4.393
 41.75  2.00     8.680    0.4276     1.602   0.03768     122.9     10.37
 43.75  2.00     8.441    0.5356     1.582   0.04737     125.7     9.560
 45.75  2.00     7.956    0.4522     1.566   0.02550     123.0     3.380
 47.75  2.00     7.520    0.4325     1.548   0.03125     121.8     7.892
 49.75  2.00     7.728    0.3924     1.553   0.03921     123.6     7.646
 51.75  2.00     7.213    0.4131     1.544   0.02508     118.0     7.515
 53.75  2.00     6.830    0.4174     1.521   0.02371     118.5     6.569
 55.75  2.00     6.523    0.2370     1.508   0.01440     117.2     7.129
 57.75  2.00     6.252    0.2304     1.497   0.02533     115.8     7.624
 59.75  2.00     6.078    0.1852     1.475   0.02178     119.7     9.690
 61.75  2.00     5.632    0.3763     1.466   0.02974     113.3     5.395
 63.75  2.00     5.470    0.2810     1.453   0.03649     114.3     9.312
 66.75  4.00     5.145    0.3263     1.435   0.02917     112.9     5.995
 70.75  4.00     4.706    0.3303     1.433   0.02539     103.4     2.308
 74.75  4.00     4.460    0.2455     1.431   0.03757     98.96     6.654
 78.75  4.00     4.116    0.1293     1.423   0.02327     93.41     5.632
 82.75  4.00     3.709    0.2110     1.407   0.03882     88.34     7.341
 86.75  4.00     3.585    0.1920     1.419   0.03683     82.36     5.932
 92.75  8.00     2.882    0.1363     1.364   0.02588     77.35     5.362
100.75  8.00     2.314   0.05943     1.367   0.02257     61.74     3.612
108.75  8.00     1.968    0.1912     1.328   0.02469     57.94     4.490
120.75 16.00    0.9120    0.4092    0.7470    0.4082     28.00     12.66
136.75 16.00     0.000     0.000     0.000     0.000     0.000     0.000
160.75 32.00   0.03685   0.03516    0.1172    0.1124     1.403     1.334
177.76  2.02    0.3760   0.05306     1.243   0.01152     14.72     2.524
